Dependente,Independente,Modelo,Grupo,R2 médio,R2 desvio,MSE médio,MSE desvio,Tempo de execução
Valor total repassado,Bloco saúde individual,XGBoost,1,-0.015428,0.030199,0.000434,5.1e-05,0.623358
Total de beneficiários,Bloco renda individual,XGBoost,1,-0.019353,0.013471,0.001229,0.000117,0.774891
Total de beneficiários,Bloco educação individual,XGBoost,1,-0.020566,0.016173,0.001208,0.000113,0.758597
Repasse por população,Bloco educação individual,XGBoost,1,-0.021056,0.012882,0.003064,8.7e-05,0.783661
Valor total repassado,Bloco educação individual,XGBoost,1,-0.022349,0.007869,0.001184,0.000144,0.790573
Total de beneficiários,Bloco renda completo,Regressão linear,0,-0.022618,0.076305,0.018022,0.00208,0.01123
Valor total repassado,Bloco saúde individual,Regressão linear,0,-0.024292,0.014248,0.028286,0.006985,0.011433
População beneficiária,Bloco saúde completo,XGBoost,1,-0.025198,0.033464,0.016824,0.000727,2.330036
Repasse por população,Bloco educação individual,XGBoost,2,-0.026643,0.058181,0.006373,0.000377,0.789983
Repasse por população,Bloco educação individual,MLP,1,-0.028648,0.044112,0.003085,0.000129,45.206367
Total de beneficiários,Bloco renda individual,MLP,0,-0.031236,0.02635,0.018004,0.005781,17.381353
População beneficiária,Blocos individuais,XGBoost,1,-0.033841,0.028235,0.011013,0.000187,1.545272
Total de beneficiários,Bloco renda individual,Regressão linear,0,-0.036231,0.026925,0.018105,0.00586,0.009001
Repasse por beneficiário,Idese,XGBoost,1,-0.037653,0.021704,0.004323,0.000385,0.776746
Valor total repassado,Idese,XGBoost,2,-0.03809,0.024486,0.001178,0.000185,0.651658
Valor total repassado,Idese,Regressão linear,0,-0.038156,0.039634,0.027895,0.006364,0.009838
Repasse por beneficiário,Bloco educação individual,XGBoost,1,-0.038781,0.01037,0.00588,0.000596,0.872245
Repasse por beneficiário,Bloco renda individual,XGBoost,1,-0.039909,0.031559,0.004859,0.000226,0.891303
População beneficiária,Bloco renda completo,XGBoost,0,-0.040842,0.06877,0.011781,0.000491,1.58481
Total de beneficiários,Idese,XGBoost,1,-0.042785,0.012533,0.001056,0.000132,0.716454
Valor total repassado,Bloco renda completo,Regressão linear,0,-0.043173,0.083049,0.028143,0.004323,0.00886
Repasse por beneficiário,Bloco saúde completo,XGBoost,0,-0.043452,0.029974,0.004563,0.000277,2.31763
Repasse por beneficiário,Idese,XGBoost,0,-0.046353,0.013277,0.005986,0.000462,0.820546
Valor total repassado,Bloco saúde resumido,XGBoost,0,-0.04765,0.049501,0.011676,0.001815,1.61299
População beneficiária,Bloco renda individual,XGBoost,0,-0.051255,0.007358,0.009251,0.000178,0.884938
Repasse por beneficiário,Bloco saúde individual,XGBoost,1,-0.051709,0.011931,0.006171,0.00042,0.802673
Repasse por população,Bloco renda individual,XGBoost,0,-0.053027,0.020246,0.004847,0.000197,0.747265
Valor total repassado,Bloco educação individual,MLP,0,-0.054265,0.064513,0.029218,0.004011,17.711241
Valor total repassado,Idese,MLP,1,-0.056961,0.058272,0.00163,0.000253,37.828172
Repasse por população,Bloco educação individual,XGBoost,0,-0.059108,0.069263,0.013778,0.002119,0.792354
População beneficiária,Bloco renda individual,XGBoost,1,-0.059821,0.031395,0.021611,0.000437,0.874365
Repasse por beneficiário,Bloco educação individual,XGBoost,0,-0.061099,0.043231,0.00371,0.000279,0.809934
Total de beneficiários,Idese,Regressão linear,0,-0.063611,0.061626,0.016916,0.003517,0.012582
Repasse por beneficiário,Bloco renda individual,XGBoost,0,-0.069844,0.015684,0.00589,0.000464,0.78015
Repasse por beneficiário,Bloco saúde individual,XGBoost,0,-0.071043,0.029636,0.004686,0.000217,0.768436
Repasse por população,Bloco saúde completo,XGBoost,1,-0.071529,0.052251,0.011858,0.000236,2.236979
População beneficiária,Bloco educação individual,XGBoost,1,-0.075697,0.038402,0.022354,0.000766,0.982522
Repasse por população,Bloco saúde resumido,XGBoost,0,-0.075975,0.088188,0.015466,0.001701,1.637746
População beneficiária,Idese,XGBoost,1,-0.080341,0.019134,0.022456,0.001201,0.882972
Repasse por população,Bloco renda completo,XGBoost,1,-0.080798,0.047031,0.007446,0.000565,1.426137
Repasse por população,Blocos individuais,XGBoost,0,-0.081267,0.069307,0.017261,0.000955,1.550979
Total de beneficiários,Idese,XGBoost,2,-0.085025,0.018962,0.001729,0.000115,0.796929
Total de beneficiários,Idese,MLP,0,-0.091109,0.094144,0.017442,0.004313,16.989903
Valor total repassado,Idese,XGBoost,1,-0.091944,0.022131,0.001683,0.000248,0.775458
Repasse por população,Blocos individuais,XGBoost,1,-0.102389,0.044159,0.007413,0.000462,1.527476
População beneficiária,Blocos individuais,XGBoost,0,-0.109789,0.06629,0.027293,0.001906,1.669993
Repasse por população,Bloco saúde resumido,XGBoost,1,-0.124044,0.033826,0.011964,0.001123,1.587614
Valor total repassado,Idese,MLP,0,-0.124921,0.149504,0.030215,0.007615,16.751424
Repasse por beneficiário,Bloco saúde completo,XGBoost,1,-0.130495,0.045787,0.006559,0.000221,2.120075
Repasse por população,Bloco saúde individual,XGBoost,2,-0.132876,0.098204,0.015077,0.000824,0.801591
Total de beneficiários,Bloco saúde resumido,XGBoost,1,-0.133909,0.188041,0.000938,0.000298,1.382661
Total de beneficiários,Bloco renda completo,MLP,0,-0.148957,0.283899,0.020449,0.005968,17.055454
Valor total repassado,Blocos individuais,XGBoost,1,-0.154292,0.191084,0.002948,0.000915,1.655548
População beneficiária,Bloco renda completo,XGBoost,1,-0.165033,0.056943,0.027868,0.001148,1.508909
Total de beneficiários,Blocos individuais,XGBoost,1,-0.174232,0.077514,0.002761,0.000277,2.604034
Repasse por população,Bloco renda completo,XGBoost,0,-0.201817,0.090444,0.01915,0.001223,1.447485
Repasse por beneficiário,Bloco educação resumido,XGBoost,1,-0.203672,0.041362,0.006753,0.000284,1.758964
Repasse por beneficiário,Bloco educação completo,XGBoost,1,-0.205828,0.03308,0.006819,0.00039,1.987366
Repasse por beneficiário,Blocos individuais,XGBoost,0,-0.209133,0.04152,0.004955,0.0002,1.53101
População beneficiária,Bloco saúde resumido,XGBoost,1,-0.225707,0.065861,0.014074,0.000871,1.652792
Repasse por beneficiário,Blocos individuais,XGBoost,1,-0.254481,0.019685,0.007279,0.000537,1.576
Repasse por beneficiário,Bloco saúde resumido,XGBoost,0,-0.270369,0.073275,0.005552,0.000336,1.588232
Repasse por beneficiário,Bloco renda completo,XGBoost,1,-0.276961,0.086579,0.006128,0.000442,1.354094
Valor total repassado,Bloco renda completo,XGBoost,1,-0.278903,0.128144,0.001948,9e-05,1.470315
Total de beneficiários,Bloco renda completo,XGBoost,1,-0.285505,0.053021,0.001676,0.000252,1.527545
Repasse por beneficiário,Bloco saúde resumido,XGBoost,1,-0.302633,0.099637,0.007691,0.000823,1.718502
Repasse por beneficiário,Bloco renda completo,XGBoost,0,-0.335584,0.068983,0.007421,0.000484,1.476317
Valor total repassado,Bloco saúde resumido,XGBoost,1,-0.335851,0.632774,0.000937,0.000274,1.452782
Total de beneficiários,Bloco renda completo,XGBoost,2,-0.340868,0.127979,0.002114,0.000108,1.432585
Valor total repassado,Bloco renda completo,XGBoost,2,-0.355011,0.07678,0.001944,0.000112,1.699538
Valor total repassado,Bloco renda individual,XGBoost,0,-0.585774,0.442696,0.042821,0.005787,0.938938
Total de beneficiários,Bloco educação individual,XGBoost,0,-0.664583,0.099339,0.032811,0.005112,0.926709
Valor total repassado,Idese,XGBoost,0,-0.85552,0.395915,0.048195,0.008731,0.72814
Valor total repassado,Bloco saúde individual,XGBoost,0,-0.889457,0.350518,0.052894,0.019227,0.910859
Total de beneficiários,Bloco saúde individual,XGBoost,0,-0.965993,0.31458,0.034304,0.006685,0.847482
Total de beneficiários,Idese,XGBoost,0,-1.045225,0.373234,0.032337,0.007261,0.911569
Total de beneficiários,Bloco renda individual,XGBoost,0,-1.138054,0.507634,0.036072,0.011165,0.804007
Valor total repassado,Bloco educação individual,XGBoost,0,-1.431799,0.508803,0.0668,0.014038,0.943785
